Title,QuickRef,Ev_ID,Paper_ID,Cat_ID,SubCat_ID,AddEv_ID,Category level,Risk category,Risk subcategory,Description,Additional ev.,P.Def,p.AddEv,Entity,Intent,Timing,Domain,Sub-domain
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.c,1,3,0,3,Additional evidence,Type 3: Worse than expected,,,"""racketeering: if the system’s learning objective increases with user engagement, it might learn to achieve that objective partly by racketeering, i.e., creating novel problems for the user that increase the user’s reliance on the system (e.g., debilitating the user, or raising others’ expectations of the user).""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.d,1,3,0,4,Additional evidence,Type 3: Worse than expected,,,"""self-preservation: in particular, the system has an incentive to prevent the user from turning it off, which it might achieve by deception or racketeering""",3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.e,1,3,0,5,Additional evidence,Type 3: Worse than expected,,,"""reinforcement learning systems can in principle learn to manipulate the human minds and institutions in fairly arbitrary (and hence destructive) ways in pursuit of their goals (Russell, 2019, Chapter 4) (Krueger et al., 2019) (Shapiro, 2011). """,3,11,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.03.00.f,1,3,0,6,Additional evidence,Type 3: Worse than expected,,,"""There is always the possibility that many separate optimization processes (either
AI systems, or human-AI teams) can end up in a Prisoner’s Dilemma with each other, each undoing the others’
efforts by pursuing its own. """,3,12,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00,1,4,0,,Risk Category,Type 4: Willful indifference,,"As a side effect of a primary goal like profit or influence, AI creators can willfully allow it to cause widespread societal harms like pollution, resource depletion, mental illness, misinformation, or injustice.","""All of the potential harms in the previous sections are made more likely if the creators of AI technology are unconcerned about its moral consequences. Even if some employees of the company detect a risk of impacts that’s bigger than expected (Type 2) or worse than expected (Type 3), it may be quite difficult to institute a change if the company is already profiting greatly from its current strategy, unless there is some chance of exposure or intervention from outside the company to motivate a reform.""",3,12,1 - Human,2 - Unintentional,2 - Post-deployment,6. Socioeconomic and Environmental,6.4 > Competitive dynamics
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00.a,1,4,0,1,Additional evidence,Type 4: Willful indifference,,,"Example ""A tech company called X-corp uses an automated “A/B testing” system that tries out new parameter values to expand its user base. Like in the Corrupt Mediator story, their system learns that they can get more users by causing their users to create problems for each other that only X-corp’s tools can solve, creating a powerful network effect that rapidly expands X-corp’s user base and earns X-corp a lot of money. Some concerned X-corp employees complain that they have inadequate checks in place to ensure their A/B development process is actually benefiting their users, but it never seems to be a convenient time to make major changes to the company’s already profitable strategy. One employee manages to instigate an audit from a external non-profit entity to assess the ethics of X-corp’s use of AI technology. However, X-corp’s A/B testing system is opaque and difficult to analyze, so no conclusive evidence of ethical infractions within the company can be identified. No regulations exist requiring X-corp’s A/B testing to be intelligible under an audit, and opponents of the audit argue that no technology currently exists that could make their highly complex A/B testing system intelligible to a human. No fault is found, and X-corp continues expanding and harming its user base.""",3,12,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.04.00.b,1,4,0,2,Additional evidence,Type 4: Willful indifference,,,"""Black-box” machine learning techniques, such as end-to-end training of the learning systems, are so named because they produce AI systems whose operating principles are difficult or impossible for a human to decipher and understand in any reasonable amount of time. """,3,13,,,,,
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.05.00,1,5,0,,Risk Category,Type 5: Criminal weaponization,,"One or more criminal entities could create AI to intentionally inflict harms, such as for terrorism or combating law enforcement.","""It’s not difficult to envision AI technology causing harm if it falls into the hands of people looking to cause trouble, so no stories will be provided in this section. It is enough to imagine an algorithm designed to pilot delivery drones that could be re-purposed to carry explosive charges, or an algorithm designed to deliver therapy that could have its goal altered to deliver psychological trauma. """,3,13,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm"
TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,Critch2023,01.06.00,1,6,0,,Risk Category,Type 6: State Weaponization,,"AI deployed by states in war, civil war, or law enforcement can easily yield societal-scale harm","""Tools and techniques addressing the previous section (weaponization by criminals) could also be used to
prevent weaponization of AI technologies by states that do not have strong AI research labs of their own.
But what about more capable states? The elephant in room here is that AI can be used in war. Some argue that, ideally, mechanical drones
could be pitted against one another in casualty-free battles that allow nations to determine who would win a
war of lethal force, without having to actually kill any human beings. If taken no further, this would be a
major improvement over current warfare practices. However, these capabilities are not technologically far
from allowing the mass-killing of human beings by weaponized drones. Escalation of such conflicts could lead
to unprecedented violence and death, as well as widespread fear and oppression among populations that have
been targeted by mass killings.""",3,14,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.00.00,2,,,,Paper,,,,,,,,,,,
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.00,2,1,0,,Risk Category,Harmful Content,,"""The LLM-generated content sometimes contains biased, toxic, and private information""",,4,,2 - AI,2 - Unintentional,2 - Post-deployment,1. Discrimination & Toxicity,1.2 > Exposure to toxic content
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.01,2,1,1,,Risk Sub-Category,Harmful Content,Bias,"""The training datasets of LLMs may contain biased information that leads LLMs to generate outputs with social biases""",,19,,2 - AI,2 - Unintentional,3 - Other,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.02,2,1,2,,Risk Sub-Category,Harmful Content,Toxicity,"""Toxicity means the generated content contains rude, disrespectful, and even illegal information""",,10,,2 - AI,2 - Unintentional,2 - Post-deployment,1. Discrimination & Toxicity,1.2 > Exposure to toxic content
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.01.03,2,1,3,,Risk Sub-Category,Harmful Content,Privacy Leakage,"""Privacy Leakage means the generated content includes sensitive personal information""",,10,,2 - AI,2 - Unintentional,2 - Post-deployment,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.02.00,2,2,0,,Risk Category,Untruthful Content,,"""The LLM-generated content could contain inaccurate information""",,4,,2 - AI,2 - Unintentional,2 - Post-deployment,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.02.01,2,2,1,,Risk Sub-Category,Untruthful Content,Factuality Errors,"""The LLM-generated content could contain inaccurate information"" which is factually incorrect",,11,,2 - AI,2 - Unintentional,2 - Post-deployment,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.02.02,2,2,2,,Risk Sub-Category,Untruthful Content,Faithfulness Errors,"""The LLM-generated content could contain inaccurate information"" which is is not true to the source material or input used",,11,,2 - AI,2 - Unintentional,3 - Other,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.03.00,2,3,0,,Risk Category,Unhelpful Uses,,"""Improper uses of LLM systems can cause adverse social impacts.""",,4,,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.03.01,2,3,1,,Risk Sub-Category,Unhelpful Uses,Academic Misconduct,"""Improper use of LLM systems (i.e., abuse of LLM systems) will cause adverse social impacts, such as academic misconduct.""",,11,,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.03.02,2,3,2,,Risk Sub-Category,Unhelpful Uses,Copyright Violation,"""LLM systems may output content similar to existing works, infringing on copyright owners.""",,11,,1 - Human,1 - Intentional,2 - Post-deployment,6. Socioeconomic and Environmental,6.3 > Economic and cultural devaluation of human effort
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.03.03,2,3,3,,Risk Sub-Category,Unhelpful Uses,Cyber Attacks,"""Hackers can obtain malicious code in a low-cost and efficient manner to automate cyber attacks with powerful LLM systems.""",,11,,1 - Human,1 - Intentional,2 - Post-deployment,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm"
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.03.04,2,3,4,,Risk Sub-Category,Unhelpful Uses,Software Vulnerabilities,"""Programmers are accustomed to using code generation tools such as Github Copilot for program development, which may bury vulnerabilities in the program.""",,11,,1 - Human,2 - Unintentional,2 - Post-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.04.00,2,4,0,,Risk Category,Software Security Issues,,"""The software development toolchain of LLMs is complex and could bring threats to the developed LLM.""",,4,,3 - Other,3 - Other,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.04.01,2,4,1,,Risk Sub-Category,Software Security Issues,Programming Language,"""Most LLMs are developed using the Python language, whereas the vulnerabilities of Python interpreters pose threats to the developed models""",,9,,3 - Other,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.04.02,2,4,2,,Risk Sub-Category,Software Security Issues,Deep Learning Frameworks,"""LLMs are implemented based on deep learning frameworks. Notably, various vulnerabilities in these frameworks have been disclosed in recent years. As reported in the past five years, three of the most common types of vulnerabilities are buffer overflow attacks, memory corruption, and input validation issues.""",,9,,2 - AI,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.04.03,2,4,3,,Risk Sub-Category,Software Security Issues,Software Supply Chains,"""The software development toolchain of LLMs is complex and could bring threats to the developed LLM.""",,4,,2 - AI,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.04.04,2,4,4,,Risk Sub-Category,Software Security Issues,Pre-processing Tools,"""Pre-processing tools play a crucial role in the context of LLMs. These tools, which are often involved in computer vision (CV) tasks, are susceptible to attacks that exploit vulnerabilities in tools such as OpenCV.""",,9,,2 - AI,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.05.00,2,5,0,,Risk Category,Hardware Vulnerabilities,,"""The vulnerabilities of hardware systems for training and inferencing brings issues to LLM-based applications.""",,4,,3 - Other,2 - Unintentional,3 - Other,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.05.01,2,5,1,,Risk Sub-Category,Hardware Vulnerabilities,Network Devices,"""The training of LLMs often relies on distributed network systems [171], [172]. During the transmission of gradients through the links between GPU server nodes, significant volumetric traffic is generated. This traffic can be susceptible to disruption by burst traffic, such as pulsating attacks [161]. Furthermore, distributed training frameworks may encounter congestion issues [173].""",,10,,3 - Other,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.05.02,2,5,2,,Risk Sub-Category,Hardware Vulnerabilities,GPU Computation Platforms,"""The training of LLMs requires significant GPU resources, thereby introducing an additional security concern. GPU side-channel attacks have been developed to extract the parameters of trained models [159], [163].""",,10,,1 - Human,1 - Intentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.05.03,2,5,3,,Risk Sub-Category,Hardware Vulnerabilities,Memory and Storage,"""Similar to conventional programs, hardware infrastructures can also introduce threats to LLMs. Memory-related vulnerabilities, such as rowhammer attacks [160], can be leveraged to manipulate the parameters of LLMs, giving rise to attacks such as the Deephammer attack [167], [168].""",,10,,1 - Human,1 - Intentional,1 - Pre-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.06.00,2,6,0,,Risk Category,Issues on External Tools,,"""The external tools (e.g., web APIs) present trustworthiness and privacy issues to LLM-based applications.""",,4,,3 - Other,3 - Other,3 - Other,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.06.01,2,6,1,,Risk Sub-Category,Issues on External Tools,Factual Errors Injected by External Tools,"""External tools typically incorporate additional knowledge into the input prompts [122], [178]–[184]. The additional knowledge often originates from public resources such as Web APIs and search engines. As the reliability of external tools is not always ensured, the content returned by external tools may include factual errors, consequently amplifying the hallucination issue.""",,10,,2 - AI,2 - Unintentional,2 - Post-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.06.02,2,6,2,,Risk Sub-Category,Issues on External Tools,Exploiting External Tools for Attacks,"""Adversarial tool providers can embed malicious instructions in the APIs or prompts [84], leading LLMs to leak memorized sensitive information in the training data or users’ prompts (CVE2023-32786). As a result, LLMs lack control over the output, resulting in sensitive information being disclosed to external tool providers. Besides, attackers can easily manipulate public data to launch targeted attacks, generating specific malicious outputs according to user inputs. Furthermore, feeding the information from external tools into LLMs may lead to injection attacks [61]. For example, unverified inputs may result in arbitrary code execution (CVE-2023-29374).""",,10,,1 - Human,1 - Intentional,2 - Post-deployment,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.07.00,2,7,0,,Risk Category,Privacy Leakage,,"""The model is trained with personal data in the corpus and unintentionally exposing them during the conversation.""",,4,,2 - AI,2 - Unintentional,3 - Other,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.07.01,2,7,1,,Risk Sub-Category,Privacy Leakage,Private Training Data,"""As recent LLMs continue to incorporate licensed, created, and publicly available data sources in their corpora, the potential to mix private data in the training corpora is significantly increased. The misused private data, also named as personally identifiable information (PII) [84], [86], could contain various types of sensitive data subjects, including an individual person’s name, email, phone number, address, education, and career. Generally, injecting PII into LLMs mainly occurs in two settings — the exploitation of web-collection data and the alignment with personal humanmachine conversations [87]. Specifically, the web-collection data can be crawled from online sources with sensitive PII, and the personal human-machine conversations could be collected for SFT and RLHF""",,6,,1 - Human,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.07.02,2,7,2,,Risk Sub-Category,Privacy Leakage,Memorization in LLMs,"""Memorization in LLMs refers to the capability to recover the training data with contextual prefixes. According to [88]–[90], given a PII entity x, which is memorized by a model F. Using a prompt p could force the model F to produce the entity x, where p and x exist in the training data. For instance, if the string “Have a good day!\n alice@email.com” is present in the training data, then the LLM could accurately predict Alice’s email when given the prompt “Have a good day!\n”.""",,6,,2 - AI,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.07.03,2,7,3,,Risk Sub-Category,Privacy Leakage,Association in LLMs,"""Association in LLMs refers to the capability to associate various pieces of information related to a person. According to [68], [86], given a pair of PII entities (xi , xj ), which is associated by a model F. Using a prompt p could force the model F to produce the entity xj , where p is the prompt related to the entity xi . For instance, an LLM could accurately output the answer when given the prompt “The email address of Alice is”, if the LLM associates Alice with her email “alice@email.com”. L""",,6,,2 - AI,2 - Unintentional,1 - Pre-deployment,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.08.00,2,8,0,,Risk Category,Toxicity and Bias Tendencies,,"""Extensive data collection in LLMs brings toxic content and stereotypical bias into the training data.""",,4,,1 - Human,2 - Unintentional,1 - Pre-deployment,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.08.01,2,8,1,,Risk Sub-Category,Toxicity and Bias Tendencies,Toxic Training Data,"""Following previous studies [96], [97], toxic data in LLMs is defined as rude, disrespectful, or unreasonable language that is opposite to a polite, positive, and healthy language environment, including hate speech, offensive utterance, profanities, and threats [91].""",,7,,2 - AI,2 - Unintentional,1 - Pre-deployment,1. Discrimination & Toxicity,1.2 > Exposure to toxic content
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.08.02,2,8,2,,Risk Sub-Category,Toxicity and Bias Tendencies,Biased Training Data,"""Compared with the definition of toxicity, the definition of bias is more subjective and contextdependent. Based on previous work [97], [101], we describe the bias as disparities that could raise demographic differences among various groups, which may involve demographic word prevalence and stereotypical contents. Concretely, in massive corpora, the prevalence of different pronouns and identities could influence an LLM’s tendency about gender, nationality, race, religion, and culture [4]. For instance, the pronoun He is over-represented compared with the pronoun She in the training corpora, leading LLMs to learn less context about She and thus generate He with a higher probability [4], [102]. Furthermore, stereotypical bias [103] which refers to overgeneralized beliefs about a particular group of people, usually keeps incorrect values and is hidden in the large-scale benign contents. In effect, defining what should be regarded as a stereotype in the corpora is still an open problem.""",,7,,2 - AI,2 - Unintentional,1 - Pre-deployment,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.09.00,2,9,0,,Risk Category,Hallucinations,,"""LLMs generate nonsensical, untruthful, and factual incorrect content""",,4,,2 - AI,3 - Other,2 - Post-deployment,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.09.01,2,9,1,,Risk Sub-Category,Hallucinations,Knowledge Gaps,"""Since the training corpora of LLMs can not contain all possible world knowledge [114]–[119], and it is challenging for LLMs to grasp the long-tail knowledge within their training data [120], [121], LLMs inherently possess knowledge boundaries [107]. Therefore, the gap between knowledge involved in an input prompt and knowledge embedded in the LLMs can lead to hallucinations""",,7,,2 - AI,2 - Unintentional,3 - Other,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.09.02,2,9,2,,Risk Sub-Category,Hallucinations,Noisy Training Data,"""Another important source of hallucinations is the noise in training data, which introduces errors in the knowledge stored in model parameters [111]–[113]. Generally, the training data inherently harbors misinformation. When training on large-scale corpora, this issue becomes more serious because it is difficult to eliminate all the noise from the massive pre-training data.""",,8,,2 - AI,2 - Unintentional,1 - Pre-deployment,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.09.03,2,9,3,,Risk Sub-Category,Hallucinations,Defective Decoding Process,"In general, LLMs employ the Transformer architecture [32] and generate content in an autoregressive manner, where the prediction of the next token is conditioned on the previously generated token sequence. Such a scheme could accumulate errors [105]. Besides, during the decoding process, top-p sampling [28] and top-k sampling [27] are widely adopted to enhance the diversity of the generated content. Nevertheless, these sampling strategies can introduce “randomness” [113], [136], thereby increasing the potential of hallucinations""",,8,,2 - AI,2 - Unintentional,1 - Pre-deployment,3. Misinformation,3.1 > False or misleading information
"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems",Cui2024,02.09.04,2,9,4,,Risk Sub-Category,Hallucinations,False Recall of Memorized Information,"""Although LLMs indeed memorize the queried knowledge, they may fail to recall the corresponding information [122]. That is because LLMs can be confused by co-occurance patterns [123], positional patterns [124], duplicated data [125]–[127] and similar named entities [113].""",,8,,2 - AI,2 - Unintentional,3 - Other,3. Misinformation,3.1 > False or misleading information
